slug,name,ascii_name,province,province_name,latitude,longitude,population,feature_class,feature_code
ile-de-lameque-nb,Île-de-Lamèque,Ile-de-Lameque,NB,New Brunswick,47.84661,-64.59607,5627,P,PPL
timberlea-ns,Timberlea,Timberlea,NS,Nova Scotia,44.66239,-63.74625,5627,P,PPL
lively-on,Lively,Lively,ON,Ontario,46.43338,-81.14975,5608,P,PPL
sainte-anne-des-monts-qc,Sainte-Anne-des-Monts,Sainte-Anne-des-Monts,QC,Quebec,49.12402,-66.49243,5602,P,PPL
chartersville-nb,Chartersville,Chartersville,NB,New Brunswick,46.08494,-64.73339,5600,P,PPL
marieville-qc,Marieville,Marieville,QC,Quebec,45.43338,-73.16585,5600,P,PPL
charlemagne-qc,Charlemagne,Charlemagne,QC,Quebec,45.71678,-73.48247,5594,P,PPL
creston-bc,Creston,Creston,BC,British Columbia,49.09987,-116.50211,5583,P,PPL
convoy-place-ns,Convoy Place,Convoy Place,NS,Nova Scotia,44.66785,-63.61431,5581,P,PPL
redcliff-ab,Redcliff,Redcliff,AB,Alberta,50.08336,-110.78495,5581,P,PPL
perth-on,Perth,Perth,ON,Ontario,44.90011,-76.24939,5573,P,PPL
princeville-ns,Princeville,Princeville,NS,Nova Scotia,45.76684,-61.29853,5571,P,PPL
bearspaw-ab,Bearspaw,Bearspaw,AB,Alberta,51.13341,-114.302,5567,P,PPLL
osoyoos-bc,Osoyoos,Osoyoos,BC,British Columbia,49.03306,-119.45237,5556,P,PPL
woodstock-nb,Woodstock,Woodstock,NB,New Brunswick,46.15796,-67.58377,5553,P,PPL
heron-bay-nb,Heron Bay,Heron Bay,NB,New Brunswick,48.02185,-66.39597,5536,P,PPL
the-pas-mb,The Pas,The Pas,MB,Manitoba,53.82159,-101.24488,5513,P,PPL
stettler-ab,Stettler,Stettler,AB,Alberta,52.31683,-112.71861,5494,P,PPL
gananoque-on,Gananoque,Gananoque,ON,Ontario,44.33342,-76.16607,5458,P,PPL
saint-roch-de-l-achigan-qc,Saint-Roch-de-l'Achigan,Saint-Roch-de-l'Achigan,QC,Quebec,45.85921,-73.58959,5453,P,PPL
saint-pie-qc,Saint-Pie,Saint-Pie,QC,Quebec,45.50277,-72.9089,5438,P,PPLA3
butternut-valley-nb,Butternut Valley,Butternut Valley,NB,New Brunswick,45.83331,-65.5347,5435,P,PPL
